"","o","nn","NUMB_C","NUMB_CN","NUMB_FR","NUMB_CM","NUMB_PV","NUMB_RC","DENS_CCN","DENS_CNFR","DENS_FRCM","DENS_CMPV","DENS_PVRC","Q_VAR","RCC_VAR","DENS_FRCM_m","DIFF_COST","Total cost of each product","CCB"
"C121",22,22,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,29.0129598873201,0.547414337496607
"C221",22,22,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,70.9870401126798,1.47889666901416
"C122",23,23,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,23.6955484378348,0.430828153415179
"C222",23,23,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,76.3044515621652,1.65879242526446
"C123",24,24,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,67.3267326732673,0.99009900990099
"C223",24,24,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,32.6732673267327,0.99009900990099
"C124",25,25,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,50.4190048822808,1.14588647459729
"C224",25,25,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,49.5809951177192,0.869842019609109
"C125",26,26,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,44.9618478775676,0.725191094799478
"C225",26,26,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,55.0381521224324,1.41123466980596
"C126",27,27,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,41.509952628912,2.18473434889011
"C226",27,27,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,58.4900473710879,0.713293260623024
"C127",28,28,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,35.4216267394513,1.22143540480867
"C227",28,28,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,64.5783732605487,0.896921850840954
"C128",29,29,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,75.2475247524752,0.99009900990099
"C228",29,29,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,24.7524752475247,0.99009900990099
"C129",30,30,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,41.5352603770154,8.30705207540307
"C229",30,30,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,58.4647396229846,0.60900770440609
"C130",31,31,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,15.8255743905857,0.359672145240584
"C230",31,31,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,84.1744256094143,1.47674430893709
"C131",32,32,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,99.0891631800456,0.990891631800456
"C231",32,32,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,0.910836819954412,0.910836819954412
"C132",33,33,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,98.875419233201,1.31833892310935
"C232",33,33,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,1.12458076679902,0.043253106415347
"C133",34,34,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,17.2309030472216,1.23077878908726
"C233",34,34,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,82.7690969527784,0.951368930491705
"C134",35,35,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,69.2192652896089,1.09871849666046
"C234",35,35,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,30.7807347103911,0.810019334483976
"C135",36,36,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,27.5508440401647,0.626155546367378
"C235",36,36,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,72.4491559598353,1.27103782385676
"C136",37,37,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,40.4938220907942,1.49977118854793
"C236",37,37,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,59.5061779092059,0.804137539313593
"C137",38,38,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,55.4455445544554,0.99009900990099
"C237",38,38,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,44.5544554455446,0.99009900990099
"C138",39,39,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,89.8543314497324,4.99190730276291
"C238",39,39,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,10.1456685502676,0.122236970485152
"C139",40,40,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,17.8217821782178,0.99009900990099
"C239",40,40,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,82.1782178217822,0.99009900990099
"C140",41,41,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,86.9086173500424,1.42473143196791
"C240",41,41,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,13.0913826499576,0.327284566248941
"C141",42,42,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,81.4187526450577,1.42839916921154
"C241",42,42,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,18.5812473549423,0.422301076248689
"C142",43,43,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,54.6549643645808,2.60261735069433
"C242",43,43,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,45.3450356354192,0.566812945442739
"C143",44,44,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,10.1363725530741,0.596257209004359
"C243",44,44,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,89.8636274469259,1.06980508865388
"C144",45,45,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,69.1137009844424,1.77214617908827
"C244",45,45,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,30.8862990155576,0.498166113154154
"C145",46,46,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,20.1903637741524,0.91774380791602
"C245",46,46,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,79.8096362258476,1.01024855982086
"C146",47,47,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,90.8459942102641,0.946312439690251
"C246",47,47,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,9.15400578973594,1.83080115794719
"C147",48,48,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,39.3065758341197,0.786131516682393
"C247",48,48,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,60.6934241658803,1.19006714050746
"C148",49,49,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,23.0560495455791,0.404492097290862
"C248",49,49,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,76.9439504544209,1.74872614669138
"C149",50,50,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,31.5460488283143,0.618549977025771
"C249",50,50,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,68.4539511716857,1.36907902343371
"C150",51,51,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,35.5576885874298,0.623819098025085
"C250",51,51,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,64.4423114125701,1.46459798664932
"C151",52,52,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,80.9706015059596,1.44590359832071
"C251",52,52,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,19.0293984940404,0.422875522089788
"C152",53,53,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,82.0107742913041,1.32275442405329
"C252",53,53,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,17.9892257086959,0.461262197658869
"C153",54,54,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,87.48284097713,1.182200553745
"C253",54,54,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,12.51715902287,0.463598482328519
"C154",55,55,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,8.41450273250055,0.135717786008073
"C254",55,55,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,91.5854972674995,2.34834608378204
"C155",56,56,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,77.8497486812039,0.926782722395285
"C255",56,56,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,22.1502513187961,1.30295595992918
"C156",57,57,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,88.1906728574509,0.969128273158801
"C256",57,57,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,11.8093271425491,1.18093271425491
"C157",58,58,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,48.2180759090973,0.651595620393207
"C257",58,58,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,51.7819240909027,1.9178490404038
"C158",59,59,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,17.3437512732842,1.44531260610701
"C258",59,59,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,82.6562487267158,0.928721895805796
"C159",60,60,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,91.5077860291541,1.20404981617308
"C259",60,60,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,8.49221397084589,0.339688558833836
"C160",61,61,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,11.9344662952499,0.322553143114862
"C260",61,61,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,88.0655337047501,1.37602396413672
"C161",62,62,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,8.07766888816687,2.01941722204172
"C261",62,62,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,91.9223311118331,0.947652898060135
"C162",63,63,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,47.8971134009437,1.01908751916902
"C262",63,63,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,52.1028865990563,0.964868270352894
"C163",64,64,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,5.4704211040071,0.124327752363798
"C263",64,64,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,94.5295788959929,1.65841366484198
"C164",65,65,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,74.4829060358086,1.04905501458885
"C264",65,65,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,25.5170939641914,0.850569798806379
"C165",66,66,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,74.2574257425743,0.99009900990099
"C265",66,66,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,25.7425742574257,0.99009900990099
"C166",67,67,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,30.079989024834,0.546908891360618
"C266",67,67,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,69.920010975166,1.52000023859057
"C167",68,68,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,65.4613257421674,1.36377761962849
"C267",68,68,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,34.5386742578326,0.651673099204388
"C168",69,69,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,98.3329953024106,0.983329953024106
"C268",69,69,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,1.66700469758942,1.66700469758942
"C169",70,70,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,10.6779590369494,0.395479964331459
"C269",70,70,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,89.3220409630506,1.20705460760879
"C170",71,71,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,25.7425742574257,0.99009900990099
"C270",71,71,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,74.2574257425743,0.99009900990099
"C171",72,72,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,97.278221196035,1.04600237845199
"C271",72,72,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,2.72177880396496,0.34022235049562
"C172",73,73,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.888888888888889,0,24.9201696323947,0.508574890457036
"C272",73,73,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.888888888888889,0,75.0798303676053,1.44384289168472
"C173",74,74,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.333333333333333,0,88.6589581971437,0.963684328229823
"C273",74,74,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.333333333333333,0,11.3410418028563,1.26011575587292
"C174",75,75,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,44.6565346562531,1.20693336908792
"C274",75,75,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,55.3434653437469,0.864741645996045
"C175",76,76,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,28.0462319749549,0.483555723706119
"C275",76,76,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,71.9537680250451,1.67334344244291
"C176",77,77,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,56.1784501514614,0.685103050627579
"C276",77,77,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,43.8215498485386,2.3063973604494
"C177",78,78,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.333333333333333,0,2.11410277563474,0.19219116142134
"C277",78,78,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.333333333333333,0,97.8858972243653,1.08762108027073
"C178",79,79,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.333333333333333,0,14.3839950312253,1.30763591192957
"C278",79,79,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.333333333333333,0,85.6160049687747,0.951288944097497
"C179",80,80,2,2,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,99.0215673111822,1.02084090011528
