"","nn","Customer","DEMAND","PVC","CMC","FRC","CNC","CCx","CC"
"138",69,2,2,17,22,13,24,25,34
"139",70,1,2,12,21,28,23,26,34
"140",70,2,1,23,5,21,28,26,17
"141",71,1,1,4,2,5,46,25,17
"142",71,2,2,24,36,23,5,25,34
"143",72,1,2,18,19,37,14,25,34
"144",72,2,1,18,25,3,37,25,17
"145",73,1,1,16,6,19,32,25,17
"146",73,2,2,16,25,23,19,25,34
"147",74,1,2,16,6,2,49,25,34
"148",74,2,1,18,29,31,2,25,17
"149",75,1,1,17,4,12,39,25,17
"150",75,2,2,17,18,24,12,25,34
"151",76,1,2,18,1,7,44,25,34
"152",76,2,1,18,19,22,7,25,17
"153",77,1,1,22,34,21,30,25,17
"154",77,2,2,22,7,12,21,25,34
"155",78,1,1,13,30,16,35,26,17
"156",78,2,2,21,3,34,16,26,34
"157",79,1,1,8,35,37,14,26,17
"158",79,2,2,32,12,3,37,26,34
"159",80,1,2,14,20,7,44,25,34
"160",80,2,1,19,9,33,7,25,17
"161",81,1,1,18,39,30,21,26,17
"162",81,2,2,18,9,2,30,26,34
"163",82,1,2,15,10,41,10,25,34
"164",82,2,1,15,2,10,41,25,17
"165",83,1,1,18,12,6,45,25,17
"166",83,2,2,16,20,35,6,25,34
"167",84,1,2,9,1,28,23,25,34
"168",84,2,1,21,22,1,28,25,17
"169",85,1,1,18,19,15,36,25,17
"170",85,2,2,16,9,24,15,25,34
"171",86,1,2,29,2,9,42,26,34
"172",86,2,1,11,25,9,9,26,17
"173",87,1,2,17,22,12,39,25,34
"174",87,2,1,17,26,9,12,25,17
"175",88,1,2,20,6,12,39,25,34
"176",88,2,1,11,33,33,12,25,17
"177",89,1,1,21,4,17,34,25,17
"178",89,2,2,10,31,17,17,25,34
"179",90,1,2,17,25,25,26,25,34
"180",90,2,1,17,9,9,25,25,17
"181",91,1,1,17,36,4,47,25,17
"182",91,2,2,17,11,36,4,25,34
"183",92,1,1,21,28,28,23,25,17
"184",92,2,2,12,13,11,28,25,34
"185",93,1,1,20,34,7,44,25,17
"186",93,2,2,20,3,36,7,25,34
"187",94,1,1,14,12,28,23,25,17
"188",94,2,2,19,28,17,28,25,34
"189",95,1,1,17,13,21,30,25,17
"190",95,2,2,17,9,9,21,25,34
"191",96,1,2,19,7,20,31,25,34
"192",96,2,1,19,36,16,20,25,17
"193",97,1,1,19,23,23,28,25,17
"194",97,2,2,19,8,10,23,25,34
"195",98,1,2,17,41,1,50,25,34
"196",98,2,1,20,9,1,1,25,17
"197",99,1,2,20,7,7,44,25,34
"198",99,2,1,20,7,25,7,25,17
"199",100,1,2,13,19,25,25,25,34
"200",100,2,1,13,16,10,25,25,17
