"","nn","Customer","DEMAND","PVC","CMC","FRC","CNC","CCx","CC"
"1",1,1,1,21,33,33,18,25,17
"2",1,2,2,15,2,1,33,25,34
"3",2,1,2,22,16,14,37,25,34
"4",2,2,1,14,17,23,14,25,17
"5",3,1,2,11,31,8,43,25,34
"6",3,2,1,22,5,8,8,25,17
"7",4,1,1,17,5,3,48,26,17
"8",4,2,2,13,41,23,3,26,34
"9",5,1,2,17,13,19,32,25,34
"10",5,2,1,17,17,17,19,25,17
"11",6,1,1,18,17,29,22,25,17
"12",6,2,2,15,13,6,29,25,34
"13",7,1,2,10,14,14,37,26,34
"14",7,2,1,13,6,6,14,26,17
"15",8,1,2,20,24,9,42,25,34
"16",8,2,1,12,9,30,9,25,17
"17",9,1,1,14,28,11,40,25,17
"18",9,2,2,19,21,13,11,25,34
"19",10,1,2,17,14,7,44,25,34
"20",10,2,1,25,32,12,7,25,17
"21",11,1,1,9,2,29,22,25,17
"22",11,2,2,19,22,11,29,25,34
"23",12,1,1,15,14,19,32,25,17
"24",12,2,2,21,11,19,19,25,34
"25",13,1,1,22,4,34,17,25,17
"26",13,2,2,22,33,9,34,25,34
"27",14,1,1,17,25,13,38,25,17
"28",14,2,2,17,13,25,13,25,34
"29",15,1,2,24,29,5,46,25,34
"30",15,2,1,11,13,19,5,25,17
"31",16,1,1,18,5,13,38,25,17
"32",16,2,2,16,13,3,13,25,34
"33",17,1,1,19,19,6,45,25,17
"34",17,2,2,19,26,13,6,25,34
"35",18,1,1,14,22,26,26,26,17
"36",18,2,2,16,12,9,26,26,34
"37",19,1,1,17,1,19,32,25,17
"38",19,2,2,17,37,1,19,25,34
"39",20,1,1,11,6,10,41,25,17
"40",20,2,2,20,38,19,10,25,34
"41",21,1,1,8,21,21,30,25,17
"42",21,2,2,18,21,15,21,25,34
"43",22,1,1,13,24,35,16,26,17
"44",22,2,2,19,4,2,35,26,34
"45",23,1,1,14,16,10,41,25,17
"46",23,2,2,24,26,16,10,25,34
"47",24,1,2,21,28,7,44,25,34
"48",24,2,1,17,10,7,7,25,17
"49",25,1,1,16,9,11,40,25,17
"50",25,2,2,18,32,32,11,25,34
"51",26,1,2,14,25,9,42,25,34
"52",26,2,1,19,13,28,9,25,17
"53",27,1,1,19,15,21,30,25,17
"54",27,2,2,19,14,23,21,25,34
"55",28,1,1,13,6,6,45,25,17
"56",28,2,2,18,40,3,6,25,34
"57",29,1,2,20,17,13,38,26,34
"58",29,2,1,12,26,13,13,26,17
"59",30,1,1,21,15,10,41,25,17
"60",30,2,2,9,20,16,10,25,34
"61",31,1,2,21,9,8,43,25,34
"62",31,2,1,21,35,18,8,25,17
"63",32,1,2,17,9,10,41,25,34
"64",32,2,1,17,19,14,10,25,17
"65",33,1,2,18,12,3,48,25,34
"66",33,2,1,18,34,17,3,25,17
"67",34,1,2,11,14,14,37,25,34
"68",34,2,1,20,11,14,14,25,17
"69",35,1,1,21,9,5,46,25,17
"70",35,2,2,16,30,15,5,25,34
"71",36,1,1,10,26,13,38,25,17
"72",36,2,2,21,12,25,13,25,34
"73",37,1,2,4,37,15,36,25,34
"74",37,2,1,30,9,15,15,25,17
"75",38,1,1,15,14,24,27,25,17
"76",38,2,2,15,26,20,24,25,34
"77",39,1,2,19,7,26,25,25,34
"78",39,2,1,19,22,14,26,25,17
"79",40,1,2,18,5,3,48,25,34
"80",40,2,1,18,25,13,3,25,17
"81",41,1,2,17,5,22,29,25,34
"82",41,2,1,17,19,20,22,25,17
"83",42,1,1,17,12,12,39,25,17
"84",42,2,2,17,3,36,12,25,34
"85",43,1,1,19,32,7,44,25,17
"86",43,2,2,19,7,41,7,25,34
"87",44,1,1,13,27,1,50,25,17
"88",44,2,2,22,22,49,1,25,34
"89",45,1,1,20,23,14,37,25,17
"90",45,2,2,14,25,25,14,25,34
"91",46,1,2,17,16,10,41,25,34
"92",46,2,1,11,31,40,10,25,17
"93",47,1,2,15,13,22,29,25,34
"94",47,2,1,16,7,22,22,25,17
"95",48,1,2,22,5,3,48,25,34
"96",48,2,1,22,5,7,3,25,17
"97",49,1,1,13,20,27,24,25,17
"98",49,2,2,19,27,10,27,25,34
"99",50,1,1,23,9,12,39,26,17
"100",50,2,2,19,19,21,12,26,34
"101",51,1,1,19,6,21,30,25,17
"102",51,2,2,14,21,24,21,25,34
"103",52,1,2,15,17,8,43,25,34
"104",52,2,1,18,11,13,8,25,17
"105",53,1,2,17,7,18,33,25,34
"106",53,2,1,17,35,26,18,25,17
"107",54,1,2,10,24,11,40,26,34
"108",54,2,1,21,16,16,11,26,17
"109",55,1,2,18,2,9,42,25,34
"110",55,2,1,23,17,10,9,25,17
"111",56,1,2,17,27,14,37,25,34
"112",56,2,1,17,14,5,14,25,17
"113",57,1,2,17,28,15,36,25,34
"114",57,2,1,17,2,21,15,25,17
"115",58,1,2,19,1,6,45,25,34
"116",58,2,1,19,16,6,6,25,17
"117",59,1,2,19,21,8,43,25,34
"118",59,2,1,13,16,28,8,25,17
"119",60,1,1,17,8,17,34,26,17
"120",60,2,2,17,15,24,17,26,34
"121",61,1,2,18,20,19,32,25,34
"122",61,2,1,20,24,19,19,25,17
"123",62,1,2,15,22,24,27,25,34
"124",62,2,1,17,5,26,24,25,17
"125",63,1,1,15,25,13,38,25,17
"126",63,2,2,15,13,13,13,25,34
"127",64,1,1,17,17,21,30,25,17
"128",64,2,2,17,15,25,21,25,34
"129",65,1,1,13,34,5,46,25,17
"130",65,2,2,19,14,38,5,25,34
"131",66,1,2,22,17,5,46,25,34
"132",66,2,1,7,15,23,5,25,17
"133",67,1,1,19,30,30,21,25,17
"134",67,2,2,19,6,8,30,25,34
"135",68,1,1,19,13,7,44,25,17
"136",68,2,2,13,19,16,7,25,34
"137",69,1,1,16,26,24,27,25,17
