"","nn","Customer","DEMAND","PVC","CMC","FRC","CNC","CCx","CC"
"151",76,1,6,18,13,11,40,11,13
"152",76,2,5,20,28,20,11,40,38
"153",77,1,9,11,8,23,14,7,29
"154",77,2,2,34,1,14,37,44,22
"155",78,1,2,11,32,32,45,3,2
"156",78,2,9,26,8,12,6,48,49
"157",79,1,2,42,16,19,10,30,12
"158",79,2,9,6,16,16,41,21,39
"159",80,1,10,16,33,25,9,46,49
"160",80,2,1,14,16,17,42,5,2
"161",81,1,9,13,3,10,10,41,48
"162",81,2,2,9,20,2,41,10,3
"163",82,1,7,22,33,28,14,14,25
"164",82,2,4,13,13,7,37,37,26
"165",83,1,2,13,9,25,13,7,4
"166",83,2,9,4,2,1,38,44,47
"167",84,1,4,15,17,9,38,19,14
"168",84,2,7,31,27,9,13,32,37
"169",85,1,5,9,16,25,40,6,10
"170",85,2,6,13,20,6,11,45,41
"171",86,1,10,34,12,26,11,20,45
"172",86,2,1,12,11,15,40,31,6
"173",87,1,7,4,11,6,14,14,21
"174",87,2,4,11,30,11,37,37,30
"175",88,1,4,7,3,16,16,8,8
"176",88,2,7,27,46,16,35,43,43
"177",89,1,6,23,11,30,47,4,10
"178",89,2,5,13,25,13,4,47,41
"179",90,1,4,6,20,10,25,25,24
"180",90,2,7,38,10,15,26,26,27
"181",91,1,9,9,32,2,2,25,40
"182",91,2,2,24,6,47,49,26,11
"183",92,1,8,6,14,33,15,15,32
"184",92,2,3,6,33,7,36,36,19
"185",93,1,3,32,35,6,3,49,39
"186",93,2,8,7,6,23,48,2,12
"187",94,1,6,13,8,3,18,34,34
"188",94,2,5,25,14,16,33,17,17
"189",95,1,1,15,19,3,20,16,3
"190",95,2,10,24,6,14,31,35,48
"191",96,1,5,30,16,16,35,16,9
"192",96,2,6,3,13,18,16,35,42
"193",97,1,9,4,25,5,25,25,41
"194",97,2,2,39,10,21,25,25,10
"195",98,1,5,28,35,6,39,20,17
"196",98,2,6,17,5,6,12,31,34
"197",99,1,4,27,1,1,1,25,18
"198",99,2,7,9,31,40,50,26,33
"199",100,1,3,4,49,26,50,25,14
"200",100,2,8,37,1,1,1,26,37
