"","o","nn","NUMB_C","NUMB_CN","NUMB_FR","NUMB_CM","NUMB_PV","NUMB_RC","DENS_CCN","DENS_CNFR","DENS_FRCM","DENS_CMPV","DENS_PVRC","Q_VAR","RCC_VAR","DENS_FRCM_m","DIFF_COST","Total cost of each product","CCB"
"C1",1,1,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,49.890597210944,0.7127228172992
"C2",1,1,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,50.109402789056,1.61643234803406
"C11",2,2,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,30.7677966325926,0.559414484228956
"C21",2,2,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,69.2322033674074,1.50504789929147
"C12",3,3,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,19.5119819316974,1.02694641745776
"C22",3,3,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,80.4880180683026,0.981561195954909
"C13",4,4,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,2.19950626325079,0.0467980056010805
"C23",4,4,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,97.8004937367492,1.81112025438424
"C14",5,5,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,4.9047531981006,0.700679028300086
"C24",5,5,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,95.0952468018994,1.01165156172233
"C15",6,6,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,69.4171799752777,2.39369586121647
"C25",6,6,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,30.5828200247223,0.424761389232255
"C16",7,7,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,19.3259183810002,0.644197279366672
"C26",7,7,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,80.6740816189998,1.13625467069014
"C17",8,8,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,43.4771805941788,0.905774595712059
"C27",8,8,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,56.5228194058212,1.06646829067587
"C18",9,9,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,20.0267523063406,0.741731566901504
"C28",9,9,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.666666666666667,0,79.9732476936594,1.08071956342783
"C19",10,10,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,88.243100868759,1.5757696583707
"C29",10,10,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.777777777777778,0,11.756899131241,0.261264425138689
"C110",11,11,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,89.3585918304112,3.88515616653962
"C210",11,11,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,10.6414081695888,0.136428309866524
"C111",12,12,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,52.5866019252193,1.19515004375498
"C211",12,12,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.555555555555556,0,47.4133980747807,0.831814001311943
"C112",13,13,2,3,3,3,3,4,0.4,0.4,0.4,0.4,0.4,-1,-1,0.444444444444444,0,29.554541266351,0.537355295751836
