"","nn","Customer","DEMAND","PVC","CMC","FRC","CNC","CCx","CC"
"1",1,1,2,19,9,7,44,25,34
"2",1,2,1,19,21,26,7,25,17
"3",2,1,2,23,8,29,22,25,34
"4",2,2,1,5,29,15,29,25,17
"5",3,1,1,19,25,13,38,25,17
"6",3,2,2,19,23,36,13,25,34
"7",4,1,1,19,8,8,43,25,17
"8",4,2,2,19,16,35,8,25,34
"9",5,1,1,15,28,24,27,25,17
"10",5,2,2,16,13,14,24,25,34
"11",6,1,1,18,24,26,25,25,17
"12",6,2,2,18,22,23,26,25,34
"13",7,1,2,9,1,23,28,25,34
"14",7,2,1,18,4,4,23,25,17
"15",8,1,2,14,3,22,29,25,34
"16",8,2,1,24,6,4,22,25,17
"17",9,1,1,19,35,21,30,25,17
"18",9,2,2,13,7,3,21,25,34
"19",10,1,2,17,22,23,28,25,34
"20",10,2,1,17,16,13,23,25,17
"21",11,1,2,17,20,12,39,25,34
"22",11,2,1,19,9,14,12,25,17
"23",12,1,1,18,19,16,35,25,17
"24",12,2,2,15,29,34,16,25,34
"25",13,1,2,17,17,9,42,25,34
"26",13,2,1,22,33,10,9,25,17
"27",14,1,2,15,15,10,41,25,34
"28",14,2,1,22,8,24,10,25,17
"29",15,1,1,13,12,28,23,26,17
"30",15,2,2,19,16,8,28,26,34
"31",16,1,1,17,34,2,49,25,17
"32",16,2,2,17,4,8,2,25,34
"33",17,1,1,24,22,10,41,25,17
"34",17,2,2,14,8,31,10,25,34
"35",18,1,1,13,6,31,20,25,17
"36",18,2,2,19,26,12,31,25,34
"37",19,1,2,19,18,26,25,25,34
"38",19,2,1,15,26,18,26,25,17
"39",20,1,2,17,20,10,41,25,34
"40",20,2,1,17,6,10,10,25,17
"41",21,1,1,17,14,28,23,25,17
"42",21,2,2,14,18,14,28,25,34
"43",22,1,1,20,28,11,40,26,17
"44",22,2,2,15,2,28,11,26,34
"45",23,1,1,17,18,23,28,25,17
"46",23,2,2,17,15,23,23,25,34
"47",24,1,2,22,18,10,41,26,34
"48",24,2,1,7,30,2,10,26,17
"49",25,1,2,19,24,27,24,25,34
"50",25,2,1,14,19,3,27,25,17
"51",26,1,2,19,13,7,44,26,34
"52",26,2,1,13,28,33,7,26,17
"53",27,1,2,12,20,11,40,25,34
"54",27,2,1,20,4,38,11,25,17
"55",28,1,2,21,5,23,28,25,34
"56",28,2,1,18,7,25,23,25,17
"57",29,1,1,17,5,41,10,25,17
"58",29,2,2,18,6,8,41,25,34
"59",30,1,2,19,1,28,23,25,34
"60",30,2,1,19,23,12,28,25,17
"61",31,1,1,16,34,42,9,26,17
"62",31,2,2,18,11,3,42,26,34
"63",32,1,2,17,9,30,21,25,34
"64",32,2,1,17,18,9,30,25,17
"65",33,1,1,17,26,14,37,25,17
"66",33,2,2,17,12,26,14,25,34
"67",34,1,2,17,11,6,45,25,34
"68",34,2,1,17,36,42,6,25,17
"69",35,1,2,18,10,10,41,25,34
"70",35,2,1,18,19,10,10,25,17
"71",36,1,1,20,24,18,33,25,17
"72",36,2,2,12,9,24,18,25,34
"73",37,1,1,13,2,43,8,25,17
"74",37,2,2,18,43,2,43,25,34
"75",38,1,2,19,27,9,42,25,34
"76",38,2,1,14,8,21,9,25,17
"77",39,1,2,17,10,4,47,25,34
"78",39,2,1,17,30,9,4,25,17
"79",40,1,2,11,31,15,36,25,34
"80",40,2,1,20,15,31,15,25,17
"81",41,1,1,16,26,10,41,25,17
"82",41,2,2,17,19,38,10,25,34
"83",42,1,2,18,2,36,15,25,34
"84",42,2,1,18,23,13,36,25,17
"85",43,1,2,18,12,4,47,25,34
"86",43,2,1,15,8,27,4,25,17
"87",44,1,1,16,2,25,26,26,17
"88",44,2,2,18,22,15,25,26,34
"89",45,1,2,16,33,4,47,25,34
"90",45,2,1,26,10,43,4,25,17
"91",46,1,1,17,19,25,25,25,17
"92",46,2,2,18,16,16,25,25,34
"93",47,1,2,16,22,23,28,25,34
"94",47,2,1,18,5,14,23,25,17
"95",48,1,2,19,11,7,44,25,34
"96",48,2,1,19,14,11,7,25,17
"97",49,1,2,19,32,32,19,25,34
"98",49,2,1,19,15,2,32,25,17
"99",50,1,1,19,30,44,7,25,17
"100",50,2,2,13,7,4,44,25,34
"101",51,1,2,24,6,11,40,25,34
"102",51,2,1,12,18,2,11,25,17
"103",52,1,1,20,25,10,41,25,17
"104",52,2,2,12,6,16,10,25,34
"105",53,1,2,17,30,7,44,25,34
"106",53,2,1,22,13,15,7,25,17
"107",54,1,2,19,21,10,41,25,34
"108",54,2,1,19,24,31,10,25,17
"109",55,1,2,15,8,34,17,25,34
"110",55,2,1,21,30,12,34,25,17
"111",56,1,2,19,23,37,14,25,34
"112",56,2,1,14,15,7,37,25,17
"113",57,1,2,19,29,9,42,25,34
"114",57,2,1,23,16,37,9,25,17
"115",58,1,1,24,12,4,47,25,17
"116",58,2,2,14,4,12,4,25,34
"117",59,1,1,19,26,16,35,25,17
"118",59,2,2,19,6,26,16,25,34
"119",60,1,1,16,11,22,29,25,17
"120",60,2,2,18,18,18,22,25,34
"121",61,1,2,15,17,1,50,25,34
"122",61,2,1,18,2,40,1,25,17
"123",62,1,2,14,36,12,39,25,34
"124",62,2,1,20,3,24,12,25,17
"125",63,1,1,14,20,3,48,25,17
"126",63,2,2,19,6,3,3,25,34
"127",64,1,1,19,9,5,46,25,17
"128",64,2,2,16,27,39,5,25,34
"129",65,1,2,15,26,7,44,25,34
"130",65,2,1,21,7,35,7,25,17
"131",66,1,1,15,3,3,48,25,17
"132",66,2,2,19,25,36,3,25,34
"133",67,1,2,17,22,22,29,25,34
"134",67,2,1,17,22,11,22,25,17
"135",68,1,2,18,20,2,49,25,34
"136",68,2,1,18,28,22,2,25,17
"137",69,1,2,17,9,35,16,25,34
"138",69,2,1,17,7,7,35,25,17
"139",70,1,1,12,1,25,25,25,17
"140",70,2,2,30,44,4,25,25,34
"141",71,1,2,20,43,22,29,25,34
"142",71,2,1,14,2,26,22,25,17
"143",72,1,1,14,33,12,39,25,17
"144",72,2,2,22,12,20,12,25,34
"145",73,1,1,15,19,2,49,26,17
"146",73,2,2,22,29,48,2,26,34
"147",74,1,2,17,9,9,42,25,34
"148",74,2,1,17,17,25,9,25,17
"149",75,1,2,17,26,13,38,25,34
"150",75,2,1,16,12,12,13,25,17
"151",76,1,2,20,21,31,20,25,34
"152",76,2,1,12,18,10,31,25,17
"153",77,1,1,15,10,21,30,25,17
"154",77,2,2,16,39,25,21,25,34
"155",78,1,2,14,29,15,36,25,34
"156",78,2,1,19,4,21,15,25,17
"157",79,1,2,14,5,25,26,26,34
"158",79,2,1,21,21,3,25,26,17
"159",80,1,1,20,16,25,26,25,17
"160",80,2,2,18,30,6,25,25,34
"161",81,1,1,17,9,9,42,25,17
"162",81,2,2,17,25,26,9,25,34
"163",82,1,1,16,5,2,49,26,17
"164",82,2,2,20,24,48,2,26,34
"165",83,1,2,10,29,37,14,25,34
"166",83,2,1,22,6,6,37,25,17
"167",84,1,2,20,13,19,32,25,34
"168",84,2,1,10,2,19,19,25,17
