"","nn","Customer","DEMAND","PVC","CMC","FRC","CNC","CCx","CC"
"169",85,1,1,18,23,32,19,25,17
"170",85,2,2,15,17,14,32,25,34
"171",86,1,2,19,14,24,27,25,34
"172",86,2,1,15,13,20,24,25,17
"173",87,1,2,17,12,25,26,25,34
"174",87,2,1,12,10,21,25,25,17
"175",88,1,2,13,32,17,34,25,34
"176",88,2,1,25,2,33,17,25,17
"177",89,1,2,14,13,7,44,25,34
"178",89,2,1,23,35,20,7,25,17
"179",90,1,1,17,3,24,27,25,17
"180",90,2,2,17,8,20,24,25,34
"181",91,1,1,17,24,3,48,25,17
"182",91,2,2,17,22,26,3,25,34
"183",92,1,2,11,5,7,44,25,34
"184",92,2,1,11,34,19,7,25,17
"185",93,1,1,13,2,1,50,25,17
"186",93,2,2,19,42,1,1,25,34
"187",94,1,2,18,29,17,34,25,34
"188",94,2,1,18,10,15,17,25,17
"189",95,1,1,13,16,6,45,25,17
"190",95,2,2,22,33,38,6,25,34
"191",96,1,2,17,20,5,46,25,34
"192",96,2,1,17,14,15,5,25,17
"193",97,1,1,7,3,1,50,25,17
"194",97,2,2,30,23,12,1,25,34
"195",98,1,2,18,12,38,13,25,34
"196",98,2,1,13,38,7,38,25,17
"197",99,1,1,19,23,6,45,25,17
"198",99,2,2,19,6,22,6,25,34
"199",100,1,2,15,12,4,47,25,34
"200",100,2,1,21,26,43,4,25,17
