nn;NUMB_C;NUMB_CN;NUMB_FR;NUMB_CM;NUMB_PV;NUMB_RC;DENS_CCN;DENS_CNFR;DENS_FRCM;DENS_CMPV;DENS_PVRC;Q_VAR;RCC_VAR;DENS_FRCM_m;DIFF_COST
62;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
63;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
64;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
65;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
66;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
67;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
68;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
69;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
70;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
71;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
72;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
73;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.888888888888889;0
74;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.333333333333333;0
75;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
76;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
77;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
78;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.333333333333333;0
79;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.333333333333333;0
80;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.777777777777778;0
81;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
82;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
83;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.777777777777778;0
84;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
85;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
86;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
87;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
88;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
89;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
90;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
91;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
92;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
93;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
94;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
95;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
96;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
97;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
98;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.666666666666667;0
99;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.444444444444444;0
100;2;2;3;3;3;4;0.4;0.4;0.4;0.4;0.4;-1;-1;0.555555555555556;0
