"","nn","Customer","DEMAND","PVC","CMC","FRC","CNC","CCx","CC"
"1",1,1,2,11,7,7,44,26,34
"2",1,2,1,31,11,11,7,26,17
"3",2,1,2,13,14,14,37,25,34
"4",2,2,1,19,32,32,14,25,17
"5",3,1,2,16,1,1,50,25,34
"6",3,2,1,15,4,4,1,25,17
"7",4,1,2,27,29,29,22,25,34
"8",4,2,1,12,4,4,29,25,17
"9",5,1,1,18,27,27,24,25,17
"10",5,2,2,18,21,21,27,25,34
"11",6,1,1,19,4,4,47,25,17
"12",6,2,2,19,20,20,4,25,34
"13",7,1,1,17,9,9,42,25,17
"14",7,2,2,20,22,22,9,25,34
"15",8,1,1,16,2,2,49,25,17
"16",8,2,2,16,26,26,2,25,34
"17",9,1,2,10,41,41,10,25,34
"18",9,2,1,21,7,7,41,25,17
"19",10,1,1,19,28,28,23,25,17
"20",10,2,2,16,18,18,28,25,34
"21",11,1,2,21,23,23,28,25,34
"22",11,2,1,21,23,23,23,25,17
"23",12,1,1,23,20,20,31,25,17
"24",12,2,2,16,14,14,20,25,34
"25",13,1,2,13,5,5,46,25,34
"26",13,2,1,16,41,41,5,25,17
"27",14,1,2,20,15,15,36,25,34
"28",14,2,1,20,27,27,15,25,17
"29",15,1,2,17,41,41,10,25,34
"30",15,2,1,17,9,9,41,25,17
"31",16,1,1,24,7,7,44,25,17
"32",16,2,2,18,36,36,7,25,34
"33",17,1,2,17,19,19,32,25,34
"34",17,2,1,17,26,26,19,25,17
"35",18,1,2,8,33,33,18,25,34
"36",18,2,1,14,17,17,33,25,17
"37",19,1,1,17,6,6,45,25,17
"38",19,2,2,14,21,21,6,25,34
"39",20,1,1,17,26,26,25,25,17
"40",20,2,2,17,8,8,26,25,34
"41",21,1,1,20,29,29,22,25,17
"42",21,2,2,9,17,17,29,25,34
"43",22,1,2,17,29,29,22,25,34
"44",22,2,1,17,20,20,29,25,17
"45",23,1,2,21,14,14,37,25,34
"46",23,2,1,21,31,31,14,25,17
"47",24,1,2,18,11,11,40,25,34
"48",24,2,1,15,15,15,11,25,17
"49",25,1,1,17,28,28,23,25,17
"50",25,2,2,31,9,9,28,25,34
"51",26,1,1,9,19,19,32,25,17
"52",26,2,2,25,10,10,19,25,34
"53",27,1,1,21,29,29,22,25,17
"54",27,2,2,21,5,5,29,25,34
"55",28,1,1,17,29,29,22,25,17
"56",28,2,2,17,20,20,29,25,34
"57",29,1,1,9,28,28,23,25,17
"58",29,2,2,21,6,6,28,25,34
"59",30,1,1,22,31,31,20,25,17
"60",30,2,2,13,3,3,31,25,34
"61",31,1,1,17,40,40,11,25,17
"62",31,2,2,17,4,4,40,25,34
"63",32,1,2,17,7,7,44,26,34
"64",32,2,1,17,39,39,7,26,17
"65",33,1,1,16,2,2,49,25,17
"66",33,2,2,11,20,20,2,25,34
"67",34,1,2,17,26,26,25,25,34
"68",34,2,1,17,21,21,26,25,17
"69",35,1,1,17,6,6,45,25,17
"70",35,2,2,17,13,13,6,25,34
"71",36,1,1,22,16,16,35,25,17
"72",36,2,2,22,19,19,16,25,34
"73",37,1,2,18,27,27,24,25,34
"74",37,2,1,18,6,6,27,25,17
"75",38,1,1,21,14,14,37,26,17
"76",38,2,2,15,9,9,14,26,34
"77",39,1,1,13,17,17,34,25,17
"78",39,2,2,9,27,27,17,25,34
"79",40,1,1,17,12,12,39,25,17
"80",40,2,2,17,31,31,12,25,34
"81",41,1,2,9,6,6,45,25,34
"82",41,2,1,21,4,4,6,25,17
"83",42,1,1,14,7,7,44,25,17
"84",42,2,2,19,22,22,7,25,34
"85",43,1,1,17,13,13,38,25,17
"86",43,2,2,17,16,16,13,25,34
"87",44,1,2,15,13,13,38,25,34
"88",44,2,1,18,18,18,13,25,17
"89",45,1,2,19,21,21,30,25,34
"90",45,2,1,13,4,4,21,25,17
"91",46,1,1,17,6,6,45,25,17
"92",46,2,2,17,4,4,6,25,34
"93",47,1,1,11,24,24,27,25,17
"94",47,2,2,20,1,1,24,25,34
"95",48,1,1,19,20,20,31,25,17
"96",48,2,2,19,11,11,20,25,34
"97",49,1,2,17,4,4,47,26,34
"98",49,2,1,17,25,25,4,26,17
"99",50,1,2,17,18,18,33,25,34
"100",50,2,1,17,13,13,18,25,17
"101",51,1,2,17,13,13,38,25,34
"102",51,2,1,17,13,13,13,25,17
"103",52,1,2,17,10,10,41,25,34
"104",52,2,1,17,30,30,10,25,17
"105",53,1,2,21,18,18,33,25,34
"106",53,2,1,16,12,12,18,25,17
"107",54,1,2,9,1,1,50,25,34
"108",54,2,1,23,19,19,1,25,17
"109",55,1,1,14,24,24,27,25,17
"110",55,2,2,20,7,7,24,25,34
"111",56,1,1,19,8,8,43,25,17
"112",56,2,2,14,9,9,8,25,34
"113",57,1,2,20,5,5,46,25,34
"114",57,2,1,11,29,29,5,25,17
"115",58,1,1,15,22,22,29,25,17
"116",58,2,2,20,21,21,22,25,34
"117",59,1,1,14,41,41,10,25,17
"118",59,2,2,19,5,5,41,25,34
"119",60,1,1,17,2,2,49,26,17
"120",60,2,2,17,41,41,2,26,34
"121",61,1,1,19,22,22,29,25,17
"122",61,2,2,19,9,9,22,25,34
"123",62,1,1,20,17,17,34,25,17
"124",62,2,2,16,15,15,17,25,34
"125",63,1,1,17,31,31,20,25,17
"126",63,2,2,17,7,7,31,25,34
"127",64,1,2,14,5,5,46,25,34
"128",64,2,1,14,44,44,5,25,17
"129",65,1,2,17,22,22,29,25,34
"130",65,2,1,17,24,24,22,25,17
"131",66,1,1,22,23,23,28,25,17
"132",66,2,2,8,14,14,23,25,34
"133",67,1,2,11,29,29,22,25,34
"134",67,2,1,20,7,7,29,25,17
"135",68,1,1,17,23,23,28,25,17
"136",68,2,2,17,5,5,23,25,34
"137",69,1,2,16,40,40,11,25,34
"138",69,2,1,20,8,8,40,25,17
"139",70,1,2,20,10,10,41,25,34
"140",70,2,1,11,29,29,10,25,17
"141",71,1,2,21,16,16,35,25,34
"142",71,2,1,21,22,22,16,25,17
"143",72,1,2,21,11,11,40,25,34
"144",72,2,1,10,25,25,11,25,17
"145",73,1,2,19,6,6,45,25,34
"146",73,2,1,19,31,31,6,25,17
"147",74,1,2,17,24,24,27,25,34
"148",74,2,1,17,20,20,24,25,17
"149",75,1,1,19,11,11,40,25,17
"150",75,2,2,19,30,30,11,25,34
"151",76,1,2,17,20,20,31,25,34
"152",76,2,1,17,18,18,20,25,17
"153",77,1,1,12,2,2,49,25,17
"154",77,2,2,28,32,32,2,25,34
"155",78,1,2,17,26,26,25,25,34
"156",78,2,1,17,13,13,26,25,17
"157",79,1,2,40,37,37,14,25,34
"158",79,2,1,2,5,5,37,25,17
"159",80,1,1,21,20,20,31,25,17
"160",80,2,2,14,3,3,20,25,34
"161",81,1,2,21,23,23,28,25,34
"162",81,2,1,21,2,2,23,25,17
"163",82,1,2,13,25,25,26,25,34
"164",82,2,1,19,20,20,25,25,17
"165",83,1,1,15,20,20,31,25,17
"166",83,2,2,14,1,1,20,25,34
"167",84,1,1,15,13,13,38,25,17
"168",84,2,2,18,22,22,13,25,34
"169",85,1,2,20,6,6,45,25,34
"170",85,2,1,11,13,13,6,25,17
"171",86,1,2,17,29,29,22,25,34
"172",86,2,1,17,9,9,29,25,17
"173",87,1,2,17,18,18,33,26,34
"174",87,2,1,17,15,15,18,26,17
"175",88,1,2,19,13,13,38,25,34
"176",88,2,1,19,33,33,13,25,17
"177",89,1,1,24,21,21,30,25,17
"178",89,2,2,14,13,13,21,25,34
"179",90,1,2,12,2,2,49,25,34
"180",90,2,1,20,24,24,2,25,17
"181",91,1,1,17,1,1,50,25,17
"182",91,2,2,17,38,38,1,25,34
"183",92,1,1,17,19,19,32,25,17
"184",92,2,2,17,6,6,19,25,34
"185",93,1,1,19,14,14,37,26,17
"186",93,2,2,13,7,7,14,26,34
"187",94,1,1,17,9,9,42,26,17
"188",94,2,2,17,39,39,9,26,34
"189",95,1,2,9,21,21,30,25,34
"190",95,2,1,21,27,27,21,25,17
"191",96,1,2,17,13,13,38,25,34
"192",96,2,1,17,19,19,13,25,17
"193",97,1,1,22,8,8,43,25,17
"194",97,2,2,16,42,42,8,25,34
"195",98,1,1,21,21,21,30,25,17
"196",98,2,2,15,7,7,21,25,34
"197",99,1,2,14,31,31,20,25,34
"198",99,2,1,19,6,6,31,25,17
"199",100,1,2,17,22,22,29,25,34
"200",100,2,1,17,18,18,22,25,17
