Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8;Spalte9;Spalte10;Spalte11;Spalte12;Spalte13;Spalte14;Spalte15;Spalte16;Spalte17;
;nn;Customer;DEMAND;PVC;CMC;FRC;CNC;CCx;CC;;PVC/DEMAND;CMC/DEMAND;FRC/DEMAND;CNC/DEMAND;CCx/DEMAND;CC/DEMAND;
58;29;2;1;15;4;18;24;25;17;; 15 ; 4 ; 18 ; 24 ; 25 ; 17 ;
59;30;1;1;20;26;7;47;49;40;; 20 ; 26 ; 7 ; 47 ; 49 ; 40 ;
60;30;2;2;17;13;7;4;2;11;; 9 ; 7 ; 4 ; 2 ; 1 ; 6 ;
61;31;1;1;3;2;17;42;5;6;; 3 ; 2 ; 17 ; 42 ; 5 ; 6 ;
62;31;2;2;45;19;10;9;46;45;; 23 ; 10 ; 5 ; 5 ; 23 ; 23 ;
63;32;1;2;18;8;6;27;24;35;; 9 ; 4 ; 3 ; 14 ; 12 ; 18 ;
64;32;2;1;15;33;38;24;27;16;; 15 ; 33 ; 38 ; 24 ; 27 ; 16 ;
65;33;1;2;4;2;16;49;49;50;; 2 ; 1 ; 8 ; 25 ; 25 ; 25 ;
66;33;2;1;35;19;34;2;2;1;; 35 ; 19 ; 34 ; 2 ; 2 ; 1 ;
67;34;1;1;25;33;8;16;16;20;; 25 ; 33 ; 8 ; 16 ; 16 ; 20 ;
68;34;2;2;13;11;8;35;35;31;; 7 ; 6 ; 4 ; 18 ; 18 ; 16 ;
69;35;1;2;5;26;20;19;32;37;; 3 ; 13 ; 10 ; 10 ; 16 ; 19 ;
70;35;2;1;22;19;7;32;19;14;; 22 ; 19 ; 7 ; 32 ; 19 ; 14 ;
71;36;1;1;8;5;21;28;12;10;; 8 ; 5 ; 21 ; 28 ; 12 ; 10 ;
72;36;2;2;16;19;15;23;39;41;; 8 ; 10 ; 8 ; 12 ; 20 ; 21 ;
73;37;1;1;16;3;12;22;40;25;; 16 ; 3 ; 12 ; 22 ; 40 ; 25 ;
74;37;2;2;15;28;29;29;11;26;; 8 ; 14 ; 15 ; 15 ; 6 ; 13 ;
75;38;1;2;12;14;22;20;25;34;; 6 ; 7 ; 11 ; 10 ; 13 ; 17 ;
76;38;2;1;13;34;12;31;25;17;; 13 ; 34 ; 12 ; 31 ; 25 ; 17 ;
77;39;1;1;25;2;35;1;50;48;; 25 ; 2 ; 35 ; 1 ; 50 ; 48 ;
78;39;2;2;19;14;1;50;1;3;; 10 ; 7 ; 1 ; 25 ; 1 ; 2 ;
79;40;1;1;11;21;28;49;25;17;; 11 ; 21 ; 28 ; 49 ; 25 ; 17 ;
80;40;2;2;24;3;22;2;25;34;; 12 ; 2 ; 11 ; 1 ; 13 ; 17 ;
81;41;1;2;26;18;32;6;48;45;; 13 ; 9 ; 16 ; 3 ; 24 ; 23 ;
82;41;2;1;13;2;9;45;3;6;; 13 ; 2 ; 9 ; 45 ; 3 ; 6 ;
83;42;1;2;17;38;12;39;39;43;; 9 ; 19 ; 6 ; 20 ; 20 ; 22 ;
84;42;2;1;12;1;20;12;12;8;; 12 ; 1 ; 20 ; 12 ; 12 ; 8 ;
85;43;1;1;21;5;11;6;45;35;; 21 ; 5 ; 11 ; 6 ; 45 ; 35 ;
86;43;2;2;5;14;29;45;6;16;; 3 ; 7 ; 15 ; 23 ; 3 ; 8 ;
