"","nn","Customer","DEMAND","PVC","CMC","FRC","CNC","CCx","CC","INDEP","DENS_MEASURED","INFOCONT_A_FRCM"
"1",1,1,1,22,63,5,5,5,8,FALSE,0.78,8.75
"2",1,2,1,58,25,48,48,48,47,FALSE,0.78,8.75
"3",1,3,1,22,13,48,48,48,47,FALSE,0.78,8.75
"4",2,1,1,19,21,30,30,30,40,TRUE,0.44,2
"5",2,2,1,63,21,21,21,21,15,TRUE,0.44,2
"6",2,3,1,19,59,51,51,51,47,TRUE,0.44,2
"7",3,1,1,24,63,35,35,35,39,FALSE,0.56,4
"8",3,2,1,22,35,33,33,33,31,FALSE,0.56,4
"9",3,3,1,56,4,33,33,33,31,FALSE,0.56,4
"10",4,1,1,6,96,2,2,2,4,TRUE,0.67,6.75
"11",4,2,1,85,2,98,98,98,96,TRUE,0.67,6.75
"12",4,3,1,10,3,1,1,1,2,TRUE,0.67,6.75
"13",5,1,1,58,71,79,79,79,66,FALSE,0.44,2
"14",5,2,1,12,22,11,11,11,18,FALSE,0.44,2
"15",5,3,1,31,9,11,11,11,18,FALSE,0.44,2
"16",6,1,1,27,3,49,49,49,49,FALSE,0.67,6
"17",6,2,1,34,38,50,50,50,50,FALSE,0.67,6
"18",6,3,1,41,61,2,2,2,2,FALSE,0.67,6
"19",7,1,1,37,46,44,44,44,38,FALSE,0.78,9.51
"20",7,2,1,37,41,29,29,29,32,FALSE,0.78,9.51
"21",7,3,1,27,15,29,29,29,32,FALSE,0.78,9.51
"22",8,1,1,33,27,73,73,73,73,TRUE,0.44,2
"23",8,2,1,14,71,2,2,2,3,TRUE,0.44,2
"24",8,3,1,55,3,27,27,27,26,TRUE,0.44,2
"25",9,1,1,17,39,54,54,54,48,TRUE,0.67,6.75
"26",9,2,1,59,42,13,13,13,15,TRUE,0.67,6.75
"27",9,3,1,26,20,34,34,34,38,TRUE,0.67,6.75
"28",10,1,1,41,7,11,11,11,23,TRUE,0.56,4.75
"29",10,2,1,41,64,17,17,17,28,TRUE,0.56,4.75
"30",10,3,1,19,31,74,74,74,51,TRUE,0.56,4.75
"31",11,1,1,43,38,34,34,34,36,FALSE,0.67,6.75
"32",11,2,1,26,20,34,34,34,30,FALSE,0.67,6.75
"33",11,3,1,33,44,34,34,34,36,FALSE,0.67,6.75
"34",12,1,1,47,6,34,34,34,35,FALSE,0.67,6.75
"35",12,2,1,31,15,33,33,33,31,FALSE,0.67,6.75
"36",12,3,1,24,80,34,34,34,35,FALSE,0.67,6.75
"37",13,1,1,72,18,42,42,42,45,FALSE,0.56,4
"38",13,2,1,8,19,18,18,18,11,FALSE,0.56,4
"39",13,3,1,21,64,42,42,42,45,FALSE,0.56,4
"40",14,1,1,25,10,73,73,73,73,TRUE,0.56,4
"41",14,2,1,37,45,5,5,5,8,TRUE,0.56,4
"42",14,3,1,40,46,23,23,23,20,TRUE,0.56,4
"43",15,1,1,23,78,40,40,40,42,FALSE,0.56,4
"44",15,2,1,68,21,21,21,21,17,FALSE,0.56,4
"45",15,3,1,11,3,40,40,40,42,FALSE,0.56,4
"46",16,1,1,56,9,50,50,50,50,FALSE,0.67,6
"47",16,2,1,37,18,42,42,42,43,FALSE,0.67,6
"48",16,3,1,8,74,9,9,9,8,FALSE,0.67,6
"49",17,1,1,14,83,56,56,56,53,TRUE,0.56,4
"50",17,2,1,56,11,4,4,4,9,TRUE,0.56,4
"51",17,3,1,32,8,42,42,42,39,TRUE,0.56,4
"52",18,1,1,60,37,64,64,64,45,FALSE,0.44,2
"53",18,2,1,21,49,19,19,19,28,FALSE,0.44,2
"54",18,3,1,21,16,19,19,19,28,FALSE,0.44,2
"55",19,1,1,47,66,66,66,66,45,TRUE,0.44,2
"56",19,2,1,30,19,26,26,26,39,TRUE,0.44,2
"57",19,3,1,24,17,10,10,10,18,TRUE,0.44,2
"58",20,1,1,48,38,69,69,69,62,TRUE,0.56,4
"59",20,2,1,22,36,18,18,18,23,TRUE,0.56,4
"60",20,3,1,32,28,14,14,14,17,TRUE,0.56,4
"61",21,1,1,34,30,28,28,28,35,TRUE,0.67,6.75
"62",21,2,1,47,26,58,58,58,43,TRUE,0.67,6.75
"63",21,3,1,20,45,15,15,15,23,TRUE,0.67,6.75
"64",22,1,1,64,27,20,20,20,24,TRUE,0.56,4
"65",22,2,1,28,35,33,33,33,40,TRUE,0.56,4
"66",22,3,1,9,40,48,48,48,38,TRUE,0.56,4
"67",23,1,1,30,55,2,2,2,4,TRUE,0.56,4.75
"68",23,2,1,36,42,44,44,44,41,TRUE,0.56,4.75
"69",23,3,1,36,4,56,56,56,56,TRUE,0.56,4.75
"70",24,1,1,16,4,4,4,4,10,FALSE,0.44,2
"71",24,2,1,23,8,4,4,4,10,FALSE,0.44,2
"72",24,3,1,62,89,93,93,93,82,FALSE,0.44,2
"73",25,1,1,57,40,12,12,12,24,TRUE,0.44,2
"74",25,2,1,28,24,38,38,38,34,TRUE,0.44,2
"75",25,3,1,16,38,51,51,51,43,TRUE,0.44,2
"76",26,1,1,26,32,10,10,10,8,TRUE,0.67,6.75
"77",26,2,1,49,28,66,66,66,61,TRUE,0.67,6.75
"78",26,3,1,26,41,25,25,25,32,TRUE,0.67,6.75
"79",27,1,1,24,31,10,10,10,14,TRUE,0.67,6.75
"80",27,2,1,53,43,61,61,61,51,TRUE,0.67,6.75
"81",27,3,1,24,28,31,31,31,36,TRUE,0.67,6.75
"82",28,1,1,39,7,4,4,4,7,TRUE,0.44,2
"83",28,2,1,23,43,55,55,55,65,TRUE,0.44,2
"84",28,3,1,39,52,43,43,43,30,TRUE,0.44,2
"85",29,1,1,12,7,25,25,25,24,TRUE,0.44,2
"86",29,2,1,15,25,4,4,4,7,TRUE,0.44,2
"87",29,3,1,74,70,73,73,73,71,TRUE,0.44,2
"88",30,1,1,70,13,55,55,55,55,TRUE,0.33,0
"89",30,2,1,23,55,34,34,34,30,TRUE,0.33,0
"90",30,3,1,9,34,13,13,13,16,TRUE,0.33,0
"91",31,1,1,40,17,41,41,41,42,TRUE,0.56,4
"92",31,2,1,19,64,9,9,9,15,TRUE,0.56,4
"93",31,3,1,43,20,52,52,52,45,TRUE,0.56,4
"94",32,1,1,7,49,26,26,26,35,FALSE,0.67,6.75
"95",32,2,1,47,50,26,26,26,35,FALSE,0.67,6.75
"96",32,3,1,47,3,50,50,50,32,FALSE,0.67,6.75
"97",33,1,1,13,16,14,14,14,26,TRUE,0.56,4
"98",33,2,1,51,27,21,21,21,41,TRUE,0.56,4
"99",33,3,1,38,59,67,67,67,34,TRUE,0.56,4
"100",34,1,1,63,48,13,13,13,13,TRUE,0.56,4
"101",34,2,1,9,28,74,74,74,69,TRUE,0.56,4
"102",34,3,1,29,26,14,14,14,20,TRUE,0.56,4
"103",35,1,1,24,8,3,3,3,8,TRUE,0.56,4.75
"104",35,2,1,28,59,37,37,37,27,TRUE,0.56,4.75
"105",35,3,1,50,34,62,62,62,66,TRUE,0.56,4.75
"106",36,1,1,20,8,43,43,43,44,FALSE,0.67,6.75
"107",36,2,1,20,72,43,43,43,44,FALSE,0.67,6.75
"108",36,3,1,62,22,15,15,15,14,FALSE,0.67,6.75
"109",37,1,1,22,45,71,71,71,56,FALSE,0.56,4.75
"110",37,2,1,42,22,15,15,15,23,FALSE,0.56,4.75
"111",37,3,1,37,35,15,15,15,23,FALSE,0.56,4.75
"112",38,1,1,51,26,18,18,18,34,FALSE,0.67,6.75
"113",38,2,1,17,56,65,65,65,33,FALSE,0.67,6.75
"114",38,3,1,34,19,18,18,18,34,FALSE,0.67,6.75
"115",39,1,1,22,59,41,41,41,41,FALSE,0.67,6.75
"116",39,2,1,57,34,41,41,41,41,FALSE,0.67,6.75
"117",39,3,1,22,8,19,19,19,20,FALSE,0.67,6.75
"118",40,1,1,23,57,31,31,31,34,FALSE,0.67,6.75
"119",40,2,1,57,24,40,40,40,33,FALSE,0.67,6.75
"120",40,3,1,21,21,31,31,31,34,FALSE,0.67,6.75
"121",41,1,1,34,11,37,37,37,37,FALSE,0.78,8.75
"122",41,2,1,34,9,33,33,33,33,FALSE,0.78,8.75
"123",41,3,1,34,82,32,32,32,32,FALSE,0.78,8.75
"124",42,1,1,9,36,53,53,53,49,TRUE,0.67,6.75
"125",42,2,1,49,21,15,15,15,15,TRUE,0.67,6.75
"126",42,3,1,44,45,33,33,33,37,TRUE,0.67,6.75
"127",43,1,1,64,67,42,42,42,42,FALSE,0.67,6
"128",43,2,1,17,17,42,42,42,42,FALSE,0.67,6
"129",43,3,1,20,17,17,17,17,17,FALSE,0.67,6
"130",44,1,1,33,34,43,43,43,41,FALSE,0.67,6
"131",44,2,1,46,16,8,8,8,10,FALSE,0.67,6
"132",44,3,1,22,52,50,50,50,50,FALSE,0.67,6
"133",45,1,1,27,56,28,28,28,25,FALSE,0.56,4
"134",45,2,1,46,8,41,41,41,45,FALSE,0.56,4
"135",45,3,1,29,37,32,32,32,31,FALSE,0.56,4
"136",46,1,1,61,16,51,51,51,50,FALSE,0.67,6
"137",46,2,1,29,59,13,13,13,14,FALSE,0.67,6
"138",46,3,1,11,26,38,38,38,37,FALSE,0.67,6
"139",47,1,1,24,24,47,47,47,45,FALSE,0.78,8.75
"140",47,2,1,63,56,47,47,47,45,FALSE,0.78,8.75
"141",47,3,1,15,22,8,8,8,11,FALSE,0.78,8.75
