"","nn","Customer","DEMAND","PVC","CMC","FRC","CNC","CCx","CC","INDEP","DENS_MEASURED","INFOCONT_A_FRCM"
"142",48,1,1,39,20,41,41,41,37,TRUE,0.56,4.75
"143",48,2,1,26,18,22,22,22,27,TRUE,0.56,4.75
"144",48,3,1,36,64,39,39,39,37,TRUE,0.56,4.75
"145",49,1,1,41,46,28,28,28,38,TRUE,0.44,2
"146",49,2,1,27,50,50,50,50,31,TRUE,0.44,2
"147",49,3,1,33,6,23,23,23,32,TRUE,0.44,2
"148",50,1,1,12,6,36,36,36,36,FALSE,0.89,11.51
"149",50,2,1,79,79,36,36,36,36,FALSE,0.89,11.51
"150",50,3,1,11,16,29,29,29,30,FALSE,0.89,11.51
"151",51,1,1,22,46,22,22,22,28,FALSE,0.78,9.51
"152",51,2,1,58,21,57,57,57,46,FALSE,0.78,9.51
"153",51,3,1,22,35,22,22,22,28,FALSE,0.78,9.51
"154",52,1,1,43,32,28,28,28,18,FALSE,0.67,6
"155",52,2,1,15,56,23,23,23,33,FALSE,0.67,6
"156",52,3,1,43,13,51,51,51,50,FALSE,0.67,6
"157",53,1,1,4,3,50,50,50,50,FALSE,0.67,6
"158",53,2,1,36,90,45,45,45,45,FALSE,0.67,6
"159",53,3,1,61,9,6,6,6,6,FALSE,0.67,6
"160",54,1,1,44,48,42,42,42,38,FALSE,0.89,11.51
"161",54,2,1,35,11,18,18,18,25,FALSE,0.89,11.51
"162",54,3,1,22,43,42,42,42,38,FALSE,0.89,11.51
"163",55,1,1,9,97,99,99,99,98,FALSE,0.44,2
"164",55,2,1,83,3,1,1,1,2,FALSE,0.44,2
"165",55,3,1,9,2,1,1,1,2,FALSE,0.44,2
"166",56,1,1,33,53,19,19,19,27,FALSE,0.67,6.75
"167",56,2,1,39,31,63,63,63,47,FALSE,0.67,6.75
"168",56,3,1,29,18,19,19,19,27,FALSE,0.67,6.75
"169",57,1,1,84,30,10,10,10,16,TRUE,0.67,6.75
"170",57,2,1,13,42,31,31,31,37,TRUE,0.67,6.75
"171",57,3,1,5,29,60,60,60,48,TRUE,0.67,6.75
"172",58,1,1,30,50,24,24,24,25,FALSE,0.78,8.75
"173",58,2,1,64,42,49,49,49,48,FALSE,0.78,8.75
"174",58,3,1,8,9,28,28,28,28,FALSE,0.78,8.75
"175",59,1,1,35,13,55,55,55,34,TRUE,0.44,2
"176",59,2,1,46,34,30,30,30,40,TRUE,0.44,2
"177",59,3,1,21,55,17,17,17,28,TRUE,0.44,2
"178",60,1,1,41,12,45,45,45,42,FALSE,0.78,8.75
"179",60,2,1,41,33,11,11,11,17,FALSE,0.78,8.75
"180",60,3,1,20,57,45,45,45,42,FALSE,0.78,8.75
"181",61,1,1,50,43,43,43,43,31,FALSE,0.56,4
"182",61,2,1,19,25,29,29,29,35,FALSE,0.56,4
"183",61,3,1,32,34,29,29,29,35,FALSE,0.56,4
"184",62,1,1,33,55,28,28,28,17,TRUE,0.56,4
"185",62,2,1,18,34,7,7,7,13,TRUE,0.56,4
"186",62,3,1,50,13,67,67,67,72,TRUE,0.56,4
"187",63,1,1,27,35,25,25,25,30,FALSE,0.78,9.51
"188",63,2,1,47,38,52,52,52,42,FALSE,0.78,9.51
"189",63,3,1,27,28,25,25,25,30,FALSE,0.78,9.51
"190",64,1,1,15,3,51,51,51,49,TRUE,0.67,6.75
"191",64,2,1,38,8,48,48,48,46,TRUE,0.67,6.75
"192",64,3,1,49,90,3,3,3,7,TRUE,0.67,6.75
"193",65,1,1,43,10,43,43,43,37,FALSE,0.89,11.51
"194",65,2,1,15,55,16,16,16,27,FALSE,0.89,11.51
"195",65,3,1,43,37,43,43,43,37,FALSE,0.89,11.51
"196",66,1,1,21,17,28,28,28,30,FALSE,0.89,11.51
"197",66,2,1,60,20,37,37,37,36,FALSE,0.89,11.51
"198",66,3,1,20,64,37,37,37,36,FALSE,0.89,11.51
"199",67,1,1,80,37,13,13,13,22,TRUE,0.56,4.75
"200",67,2,1,11,41,35,35,35,35,TRUE,0.56,4.75
"201",67,3,1,11,23,53,53,53,44,TRUE,0.56,4.75
"202",68,1,1,50,27,3,3,3,4,FALSE,0.78,8.75
"203",68,2,1,21,67,49,49,49,49,FALSE,0.78,8.75
"204",68,3,1,30,7,49,49,49,49,FALSE,0.78,8.75
"205",69,1,1,24,47,4,4,4,6,TRUE,0.56,4.75
"206",69,2,1,32,11,47,47,47,46,TRUE,0.56,4.75
"207",69,3,1,46,44,50,50,50,49,TRUE,0.56,4.75
"208",70,1,1,28,32,23,23,23,25,FALSE,0.89,11.51
"209",70,2,1,12,23,39,39,39,38,FALSE,0.89,11.51
"210",70,3,1,61,46,39,39,39,38,FALSE,0.89,11.51
"211",71,1,1,55,25,21,21,21,26,TRUE,0.67,6.75
"212",71,2,1,35,61,33,33,33,34,TRUE,0.67,6.75
"213",71,3,1,11,16,48,48,48,41,TRUE,0.67,6.75
"214",72,1,1,69,21,9,9,9,16,FALSE,0.44,2
"215",72,2,1,16,17,9,9,9,16,FALSE,0.44,2
"216",72,3,1,16,64,84,84,84,69,FALSE,0.44,2
"217",73,1,1,47,16,31,31,31,18,TRUE,0.56,4
"218",73,2,1,4,23,8,8,8,20,TRUE,0.56,4
"219",73,3,1,50,62,62,62,62,64,TRUE,0.56,4
"220",74,1,1,55,12,48,48,48,41,FALSE,0.67,6.75
"221",74,2,1,29,62,27,27,27,30,FALSE,0.67,6.75
"222",74,3,1,17,28,27,27,27,30,FALSE,0.67,6.75
"223",75,1,1,29,14,46,46,46,47,TRUE,0.56,4
"224",75,2,1,6,9,7,7,7,11,TRUE,0.56,4
"225",75,3,1,66,79,48,48,48,43,TRUE,0.56,4
"226",76,1,1,14,67,25,25,25,31,FALSE,0.78,8.75
"227",76,2,1,63,29,37,37,37,34,FALSE,0.78,8.75
"228",76,3,1,24,6,39,39,39,37,FALSE,0.78,8.75
"229",77,1,1,39,27,6,6,6,14,TRUE,0.56,4.75
"230",77,2,1,23,17,32,32,32,34,TRUE,0.56,4.75
"231",77,3,1,40,58,64,64,64,54,TRUE,0.56,4.75
"232",78,1,1,50,41,27,27,27,33,FALSE,0.78,8.75
"233",78,2,1,16,42,27,27,27,24,FALSE,0.78,8.75
"234",78,3,1,35,18,48,48,48,45,FALSE,0.78,8.75
"235",79,1,1,38,26,38,38,38,42,TRUE,0.56,4
"236",79,2,1,38,70,29,29,29,23,TRUE,0.56,4
"237",79,3,1,26,6,35,35,35,37,TRUE,0.56,4
"238",80,1,1,13,51,35,35,35,36,FALSE,0.89,11.51
"239",80,2,1,50,41,35,35,35,36,FALSE,0.89,11.51
"240",80,3,1,38,10,31,31,31,30,FALSE,0.89,11.51
"241",81,1,1,51,34,43,43,43,40,TRUE,0.56,4.75
"242",81,2,1,17,28,10,10,10,16,TRUE,0.56,4.75
"243",81,3,1,34,40,49,49,49,45,TRUE,0.56,4.75
"244",82,1,1,48,7,4,4,4,5,FALSE,0.56,4
"245",82,2,1,9,16,86,86,86,79,FALSE,0.56,4
"246",82,3,1,45,79,11,11,11,17,FALSE,0.56,4
"247",83,1,1,3,8,33,33,33,36,FALSE,0.67,6.75
"248",83,2,1,38,33,33,33,33,36,FALSE,0.67,6.75
"249",83,3,1,61,61,35,35,35,30,FALSE,0.67,6.75
"250",84,1,1,42,36,11,11,11,24,FALSE,0.56,4.75
"251",84,2,1,27,33,79,79,79,53,FALSE,0.56,4.75
"252",84,3,1,33,33,11,11,11,24,FALSE,0.56,4.75
"253",85,1,1,26,40,24,24,24,17,TRUE,0.44,2
"254",85,2,1,26,24,20,20,20,30,TRUE,0.44,2
"255",85,3,1,50,37,57,57,57,54,TRUE,0.44,2
"256",86,1,1,58,8,82,82,82,74,TRUE,0.56,4.75
"257",86,2,1,12,80,3,3,3,8,TRUE,0.56,4.75
"258",86,3,1,32,14,16,16,16,20,TRUE,0.56,4.75
"259",87,1,1,23,31,10,10,10,19,TRUE,0.56,4.75
"260",87,2,1,43,41,51,51,51,35,TRUE,0.56,4.75
"261",87,3,1,36,30,41,41,41,48,TRUE,0.56,4.75
"262",88,1,1,53,55,40,40,40,41,TRUE,0.67,6.75
"263",88,2,1,28,37,49,49,49,46,TRUE,0.67,6.75
"264",88,3,1,20,10,13,13,13,14,TRUE,0.67,6.75
"265",89,1,1,7,97,1,1,1,2,TRUE,0.33,0
"266",89,2,1,76,1,3,3,3,4,TRUE,0.33,0
"267",89,3,1,19,3,97,97,97,96,TRUE,0.33,0
"268",90,1,1,25,48,48,48,48,60,TRUE,0.44,2
"269",90,2,1,44,5,50,50,50,33,TRUE,0.44,2
"270",90,3,1,32,48,3,3,3,8,TRUE,0.44,2
"271",91,1,1,16,37,60,60,60,49,TRUE,0.56,4.75
"272",91,2,1,35,17,29,29,29,33,TRUE,0.56,4.75
"273",91,3,1,51,47,13,13,13,19,TRUE,0.56,4.75
"274",92,1,1,50,27,52,52,52,52,TRUE,0.33,0
"275",92,2,1,45,52,27,27,27,25,TRUE,0.33,0
"276",92,3,1,6,23,23,23,23,25,TRUE,0.33,0
"277",93,1,1,22,3,5,5,5,7,FALSE,0.56,4
"278",93,2,1,55,91,91,91,91,87,FALSE,0.56,4
"279",93,3,1,25,8,5,5,5,7,FALSE,0.56,4
"280",94,1,1,24,42,60,60,60,49,TRUE,0.67,6.75
"281",94,2,1,53,30,31,31,31,37,TRUE,0.67,6.75
"282",94,3,1,24,30,10,10,10,15,TRUE,0.67,6.75
"283",95,1,1,50,59,12,12,12,16,TRUE,0.56,4.75
"284",95,2,1,19,34,71,71,71,65,TRUE,0.56,4.75
"285",95,3,1,32,8,19,19,19,20,TRUE,0.56,4.75
"286",96,1,1,32,18,30,30,30,28,FALSE,0.44,2
"287",96,2,1,32,60,41,41,41,45,FALSE,0.44,2
"288",96,3,1,38,24,30,30,30,28,FALSE,0.44,2
"289",97,1,1,19,62,20,20,20,20,FALSE,0.67,6
"290",97,2,1,19,36,49,49,49,47,FALSE,0.67,6
"291",97,3,1,64,4,33,33,33,34,FALSE,0.67,6
"292",98,1,1,23,27,36,36,36,24,FALSE,0.56,4
"293",98,2,1,23,39,33,33,33,39,FALSE,0.56,4
"294",98,3,1,56,36,33,33,33,39,FALSE,0.56,4
"295",99,1,1,17,9,22,22,22,29,TRUE,0.67,6.75
"296",99,2,1,17,42,17,17,17,24,TRUE,0.67,6.75
"297",99,3,1,68,50,63,63,63,48,TRUE,0.67,6.75
"298",100,1,1,40,21,35,35,35,23,TRUE,0.44,2
"299",100,2,1,50,35,23,23,23,30,TRUE,0.44,2
"300",100,3,1,11,46,43,43,43,49,TRUE,0.44,2
"301",101,1,1,32,56,10,10,10,15,TRUE,0.33,0
"302",101,2,1,32,35,35,35,35,46,TRUE,0.33,0
"303",101,3,1,37,10,56,56,56,41,TRUE,0.33,0
"304",102,1,1,53,7,40,40,40,40,TRUE,0.44,2
"305",102,2,1,14,28,28,28,28,27,TRUE,0.44,2
"306",102,3,1,35,67,34,34,34,34,TRUE,0.44,2
"307",103,1,1,35,9,80,80,80,71,FALSE,0.56,4
"308",103,2,1,11,24,17,17,17,23,FALSE,0.56,4
"309",103,3,1,55,68,5,5,5,7,FALSE,0.56,4
"310",104,1,1,42,63,45,45,45,43,FALSE,0.78,8.75
"311",104,2,1,17,34,14,14,14,17,FALSE,0.78,8.75
"312",104,3,1,42,4,43,43,43,42,FALSE,0.78,8.75
"313",105,1,1,22,75,50,50,50,50,FALSE,0.67,6
"314",105,2,1,58,11,13,13,13,22,FALSE,0.67,6
"315",105,3,1,22,15,38,38,38,29,FALSE,0.67,6
"316",106,1,1,36,33,56,56,56,47,FALSE,0.56,4
"317",106,2,1,22,40,14,14,14,18,FALSE,0.56,4
"318",106,3,1,43,28,31,31,31,36,FALSE,0.56,4
"319",107,1,1,48,47,8,8,8,7,TRUE,0.44,2
"320",107,2,1,5,8,69,69,69,65,TRUE,0.44,2
"321",107,3,1,48,46,24,24,24,29,TRUE,0.44,2
"322",108,1,1,47,37,19,19,19,26,TRUE,0.56,4
"323",108,2,1,11,14,25,25,25,34,TRUE,0.56,4
"324",108,3,1,43,51,58,58,58,42,TRUE,0.56,4
"325",109,1,1,17,91,4,4,4,8,TRUE,0.67,6.75
"326",109,2,1,10,5,2,2,2,6,TRUE,0.67,6.75
"327",109,3,1,75,6,95,95,95,88,TRUE,0.67,6.75
"328",110,1,1,6,4,24,24,24,23,FALSE,0.78,9.51
"329",110,2,1,30,30,53,53,53,55,FALSE,0.78,9.51
"330",110,3,1,65,68,24,24,24,23,FALSE,0.78,9.51
"331",111,1,1,34,41,44,44,44,42,FALSE,0.78,8.75
"332",111,2,1,25,42,44,44,44,42,FALSE,0.78,8.75
"333",111,3,1,43,18,14,14,14,17,FALSE,0.78,8.75
"334",112,1,1,25,54,33,33,33,35,FALSE,0.67,6.75
"335",112,2,1,25,31,33,33,33,35,FALSE,0.67,6.75
"336",112,3,1,51,17,35,35,35,32,FALSE,0.67,6.75
"337",113,1,1,20,25,13,13,13,10,TRUE,0.56,4
"338",113,2,1,41,69,54,54,54,53,TRUE,0.56,4
"339",113,3,1,41,8,35,35,35,39,TRUE,0.56,4
"340",114,1,1,36,27,62,62,62,54,TRUE,0.67,6.75
"341",114,2,1,36,43,9,9,9,18,TRUE,0.67,6.75
"342",114,3,1,30,31,31,31,31,30,TRUE,0.67,6.75
"343",115,1,1,14,36,50,50,50,44,TRUE,0.67,6.75
"344",115,2,1,22,50,35,35,35,34,TRUE,0.67,6.75
"345",115,3,1,66,16,17,17,17,23,TRUE,0.67,6.75
"346",116,1,1,23,16,45,45,45,39,FALSE,0.56,4
"347",116,2,1,23,80,8,8,8,14,FALSE,0.56,4
"348",116,3,1,55,5,48,48,48,48,FALSE,0.56,4
"349",117,1,1,58,51,31,31,31,33,FALSE,0.78,9.51
"350",117,2,1,32,41,31,31,31,33,FALSE,0.78,9.51
"351",117,3,1,12,10,40,40,40,36,FALSE,0.78,9.51
"352",118,1,1,43,3,15,15,15,15,FALSE,0.67,6.75
"353",118,2,1,8,15,43,43,43,43,FALSE,0.67,6.75
"354",118,3,1,50,84,43,43,43,43,FALSE,0.67,6.75
"355",119,1,1,46,31,26,26,26,32,FALSE,0.67,6.75
"356",119,2,1,10,55,26,26,26,32,FALSE,0.67,6.75
"357",119,3,1,46,16,49,49,49,38,FALSE,0.67,6.75
"358",120,1,1,16,15,31,31,31,26,FALSE,0.56,4
"359",120,2,1,21,54,27,27,27,29,FALSE,0.56,4
"360",120,3,1,65,32,43,43,43,47,FALSE,0.56,4
"361",121,1,1,12,2,1,1,1,2,TRUE,0.44,2
"362",121,2,1,50,8,91,91,91,85,TRUE,0.44,2
"363",121,3,1,39,91,9,9,9,14,TRUE,0.44,2
"364",122,1,1,17,66,9,9,9,12,FALSE,0.78,8.75
"365",122,2,1,38,25,46,46,46,45,FALSE,0.78,8.75
"366",122,3,1,46,11,46,46,46,45,FALSE,0.78,8.75
"367",123,1,1,25,42,2,2,2,3,FALSE,0.78,8.75
"368",123,2,1,64,5,50,50,50,49,FALSE,0.78,8.75
"369",123,3,1,12,54,50,50,50,49,FALSE,0.78,8.75
"370",124,1,1,19,39,26,26,26,32,TRUE,0.67,6.75
"371",124,2,1,51,37,62,62,62,53,TRUE,0.67,6.75
"372",124,3,1,31,26,13,13,13,17,TRUE,0.67,6.75
"373",125,1,1,50,55,37,37,37,39,FALSE,0.67,6.75
"374",125,2,1,37,9,27,27,27,24,FALSE,0.67,6.75
"375",125,3,1,15,37,37,37,37,39,FALSE,0.67,6.75
"376",126,1,1,62,19,17,17,17,21,TRUE,0.56,4
"377",126,2,1,18,33,41,41,41,43,TRUE,0.56,4
"378",126,3,1,22,49,44,44,44,37,TRUE,0.56,4
"379",127,1,1,17,63,64,64,64,64,TRUE,0.56,4
"380",127,2,1,39,28,32,32,32,29,TRUE,0.56,4
"381",127,3,1,45,10,5,5,5,8,TRUE,0.56,4
"382",128,1,1,23,73,37,37,37,36,FALSE,0.44,2
"383",128,2,1,69,27,37,37,37,36,FALSE,0.44,2
"384",128,3,1,10,1,28,28,28,29,FALSE,0.44,2
"385",129,1,1,31,11,6,6,6,12,TRUE,0.56,4
"386",129,2,1,58,4,94,94,94,84,TRUE,0.56,4
"387",129,3,1,13,87,2,2,2,5,TRUE,0.56,4
"388",130,1,1,50,37,47,47,47,34,FALSE,0.56,4
"389",130,2,1,31,28,18,18,18,20,FALSE,0.56,4
"390",130,3,1,20,36,37,37,37,47,FALSE,0.56,4
"391",131,1,1,29,33,50,50,50,50,FALSE,0.67,6
"392",131,2,1,48,11,34,34,34,32,FALSE,0.67,6
"393",131,3,1,25,57,17,17,17,19,FALSE,0.67,6
"394",132,1,1,57,40,14,14,14,13,TRUE,0.33,0
"395",132,2,1,32,48,48,48,48,60,TRUE,0.33,0
"396",132,3,1,12,14,40,40,40,29,TRUE,0.33,0
"397",133,1,1,49,8,38,38,38,37,FALSE,0.89,11.51
"398",133,2,1,45,24,38,38,38,37,FALSE,0.89,11.51
"399",133,3,1,8,70,26,26,26,27,FALSE,0.89,11.51
"400",134,1,1,46,87,2,2,2,3,FALSE,0.44,2
"401",134,2,1,11,11,98,98,98,95,FALSE,0.44,2
"402",134,3,1,44,3,2,2,2,3,FALSE,0.44,2
"403",135,1,1,13,26,9,9,9,12,FALSE,0.78,8.75
"404",135,2,1,44,25,46,46,46,45,FALSE,0.78,8.75
"405",135,3,1,44,50,46,46,46,45,FALSE,0.78,8.75
"406",136,1,1,10,47,2,2,2,4,TRUE,0.67,6.75
"407",136,2,1,46,5,27,27,27,44,TRUE,0.67,6.75
"408",136,3,1,46,50,73,73,73,54,TRUE,0.67,6.75
"409",137,1,1,20,9,46,46,46,44,FALSE,0.67,6
"410",137,2,1,74,8,51,51,51,50,FALSE,0.67,6
"411",137,3,1,8,84,5,5,5,7,FALSE,0.67,6
"412",138,1,1,39,16,62,62,62,50,TRUE,0.56,4.75
"413",138,2,1,24,57,34,34,34,39,TRUE,0.56,4.75
"414",138,3,1,39,29,6,6,6,12,TRUE,0.56,4.75
"415",139,1,1,22,30,56,56,56,44,FALSE,0.56,4
"416",139,2,1,26,31,30,30,30,37,FALSE,0.56,4
"417",139,3,1,54,41,15,15,15,21,FALSE,0.56,4
"418",140,1,1,48,38,3,3,3,6,TRUE,0.44,2
"419",140,2,1,43,6,58,58,58,56,TRUE,0.44,2
